DOCS , [7, 0] , [-2.98, -7.27, -18.26, -32.18]
CSWI , [10, 3] , [-0.17, -4.51, -11.38, -28.97]
PSN , [8, 2] , [-2.72, -5.3, -11.07, -24.33]
FUNC , [7, 2] , [0.6, -1.16, -4.12, -20.64]
K , [4, 0] , [0.1, -0.66, -5.6, -23.46]
ATMU , [4, 1] , [-0.07, -3.0, -8.94, -22.35]
AAON , [4, 1] , [-0.78, -5.81, -13.22, -22.16]
BN , [4, 1] , [-0.29, -3.42, -8.59, -18.49]
CHRW , [7, 1] , [-0.77, -3.0, -7.14, -21.16]
PDLB , [7, 2] , [1.74, -0.55, -5.92, -17.77]
NI , [9, 2] , [-1.02, -2.1, -5.54, -17.01]
RDWR , [1, 0] , [-2.92, -4.08, -5.6, -16.34]
MGEE , [2, 0] , [0.03, -1.34, -3.82, -14.68]
TRN , [2, 0] , [0.98, -1.4, -2.96, -14.27]
RCM , [1, 0] , [-0.2, -0.49, -1.77, -12.08]
DHR , [7, 1] , [0.15, -0.38, -1.04, -7.66]
HLMN , [7, 2] , [2.08, -0.84, -4.87, -8.36]
BKH , [4, 1] , [0.7, -0.21, -2.34, -8.91]
SWI , [1, 0] , [0.99, 0.04, -1.83, -5.13]
